#
# ABINIT package : DOS file  
#
# nsppol = 1, nkpt = 2312, nband(1)=  40
# Tetrahedron method
# For identification : eigen(1:3)=  -3.605  -3.605  -2.692
#
# Fermi energy :       0.29284692
#
# The local DOS (in electrons/Hartree for one atomic sphere)
# and integrated local DOS (in electrons for one atomic sphere) are computed.
# at  9401 energies (in Hartree) covering the interval 
# between   -3.7000 and    1.0000 Hartree by steps of  0.00050 Hartree.
#
# energy(Ha)     DOS  integrated DOS
   -3.70000     0.0000     0.0000
   -3.69950     0.0000     0.0000
   -3.69900     0.0000     0.0000
   -3.69850     0.0000     0.0000
   -3.69800     0.0000     0.0000
   -3.69750     0.0000     0.0000
   -3.69700     0.0000     0.0000
   -3.69650     0.0000     0.0000
   -3.69600     0.0000     0.0000
   -3.69550     0.0000     0.0000
   -3.69500     0.0000     0.0000
   -3.69450     0.0000     0.0000
   -3.69400     0.0000     0.0000
   -3.69350     0.0000     0.0000
   -3.69300     0.0000     0.0000
   -3.69250     0.0000     0.0000
   -3.69200     0.0000     0.0000
   -3.69150     0.0000     0.0000
   -3.69100     0.0000     0.0000
   -3.69050     0.0000     0.0000
   -3.69000     0.0000     0.0000
   -3.68950     0.0000     0.0000
   -3.68900     0.0000     0.0000
   -3.68850     0.0000     0.0000
   -3.68800     0.0000     0.0000
   -3.68750     0.0000     0.0000
   -3.68700     0.0000     0.0000
   -3.68650     0.0000     0.0000
   -3.68600     0.0000     0.0000
   -3.68550     0.0000     0.0000
   -3.68500     0.0000     0.0000
   -3.68450     0.0000     0.0000
   -3.68400     0.0000     0.0000
   -3.68350     0.0000     0.0000
   -3.68300     0.0000     0.0000
   -3.68250     0.0000     0.0000
   -3.68200     0.0000     0.0000
   -3.68150     0.0000     0.0000
   -3.68100     0.0000     0.0000
   -3.68050     0.0000     0.0000
   -3.68000     0.0000     0.0000
   -3.67950     0.0000     0.0000
   -3.67900     0.0000     0.0000
   -3.67850     0.0000     0.0000
   -3.67800     0.0000     0.0000
   -3.67750     0.0000     0.0000
   -3.67700     0.0000     0.0000
   -3.67650     0.0000     0.0000
   -3.67600     0.0000     0.0000
   -3.67550     0.0000     0.0000
   -3.67500     0.0000     0.0000
   -3.67450     0.0000     0.0000
